Number,Station No,Dam Name,Reservoir,Latitude,Longitude,Province,WMA,Place,Catchment Area,"FSC 1,000,000m³ (million m³)",Type,actual lvl 20151130 (million m³),actual lvl 20151207 (million m³),actual lvl 20151214 (million m³),actual lvl 20151221 (million m³),actual lvl 20151228 (million m³),actual lvl 20160104 (million m³),actual lvl 20160111 (million m³),actual lvl 20160118 (million m³),actual lvl 20160125 (million m³),actual lvl 20160201 (million m³),actual lvl 20160208 (million m³),actual lvl 20160215 (million m³),actual lvl 20160229 (million m³),actual lvl 20160307 (million m³),actual lvl 20160314 (million m³),actual lvl 20160321 (million m³),20151123 (percent full),20151130 (percent full),20151207  (percent full),20151214  (percent full),20151221 (percent full),20151228 (percent full),20150104 (percent full),20160111 (percent full),20160118 (percent full),20160125 (percent full),20160201 (percent full),20160208 (percent full),20160215 (percent full),20160229 (percent full),20160307 (percent full),20160314 (percent full),20160321 (percent full),2015 week 11 (percent full)
158,J2R002,Leeugamka Dam ,Leeugamka,32.622430000000001,22.00535,WCo,16,Leeu River @ Leeugamka Dam,2088,13.584,,0.013,0.009,0.008,0.008,,,0.14,2.013,,3.792,3.474,3.116,2.539,2.266,1.948,1.676,0.1,0.1,0.1,0.1,0.1,,,1,14.8,,27.9,25.6,22.9,18.7,16.7,14.3,12.3,0
159,J2R003,Oukloof Dam ,Oukloof,33.245190000000001,22.090910000000001,WCo,16,Cordiers River @ Oukloof Dam,141,4.19,,2.874,2.803,2.762,2.737,,,2.59,2.552,,2.514,2.443,2.391,2.318,2.246,2.175,2.093,69.7,68.599999999999994,66.900000000000006,65.900000000000006,65.3,,,61.8,60.9,,60,58.3,57.1,55.3,53.6,51.9,49.9,30.7
160,J2R004,Gamka Dam ,Gamka,32.238770000000002,22.586510000000001,WCo,16,Gamka River @ Gamka Dam,98,1.82,,0.312,0.267,0.247,0.218,,,0.239,0.933,,1.115,1.115,1.086,0.918,0.89,0.858,0.814,17.600000000000001,17.100000000000001,14.7,13.6,12,,,13.1,51.3,,61.3,61.3,59.7,50.4,48.9,47.2,44.7,6.2
162,J2R006,Gamkapoort Dam ,Gamkapoort,33.309190000000001,21.6342,WCo,16,Gamka River @ Gamkapoort Dam,17055,36.234000000000002,,6.624,5.287,4.068,3.793,,,2.461,2.769,,6.675,6.675,6.424,5.726,4.36,2.611,1.03,22.8,18.3,14.6,11.2,10.5,,,6.8,7.6,,18.399999999999999,18.399999999999999,17.7,15.8,12,7.2,2.8,20.9
165,J3R001,Kammanassie Dam ,Kammanassie,33.643979999999999,22.408550000000002,WCo,16,Kammanassie River @ Kammanassie Dam,1525,34.353999999999999,,32.448999999999998,31.210999999999999,30.588999999999999,30.491,,,29.78,29.588000000000001,,28.733000000000001,28.545000000000002,28.359000000000002,28.018000000000001,27.436,26.382000000000001,24.498000000000001,99.3,94.5,90.9,89,88.8,,,86.7,86.1,,83.6,83.1,82.5,81.599999999999994,79.900000000000006,76.8,71.3,43.4
166,J3R002,Stompdrift Dam ,Stompdrift,33.511679999999998,22.585509999999999,WCo,16,Olifants River @ Stompdrift Dam,5224,49.579000000000001,,26.181999999999999,25.751999999999999,24.988,24.527999999999999,,,23.460999999999999,22.858000000000001,,29.503,28.372,27.707000000000001,26.92,26.704000000000001,26.355,24.238,54,52.8,51.9,50.4,49.5,,,47.3,46.1,,59.5,57.2,55.9,54.3,53.9,53.2,48.9,35.799999999999997
168,K1R001,Hartebeestkuil Dam ,Hartebeestkuil,34.096440000000001,22.007490000000001,WCo,16,Hartenbos River @ Hartebeestkuil Dam,100,7.133,,6.081,5.999,5.927,5.836,,,5.576,5.497,,5.32,5.243,5.148,4.988,4.905,4.86,4.805,86.3,85.3,84.1,83.1,81.8,,,78.2,77.099999999999994,,74.599999999999994,73.5,72.2,69.900000000000006,68.8,68.099999999999994,67.400000000000006,47.2
169,K1R002,Klipheuwel Dam ,Klipheuwel,34.054070000000003,22.139399999999998,WCo,16,Hartenbos River @ Klipheuwel Dam,11,4.45,,4.174,4.224,4.143,4.188,,,3.915,3.834,,3.885,3.864,3.851,3.821,3.783,3.907,4.028,94.5,93.8,94.9,93.1,94.1,,,88,86.2,,87.3,86.8,86.5,85.9,85,87.8,90.5,72.099999999999994
170,K2R001,Ernest Robertson Dam  ,Ernest Robertson,33.902140000000003,22.174299999999999,WCo,16,Groot Brak River @ Ernest Robertson Dam,17,0.415,,0.418,0.416,0.42,0.419,,,0.418,0.418,,0.413,0.414,0.401,0.396,0.387,0.42,0.419,100.4,100.8,100.4,101.2,101,,,100.7,100.7,,99.6,99.7,96.6,95.4,93.4,101.2,101,100.3
171,K2R002,Wolwedans Dam ,Wolwedans,34.014449999999997,22.229050000000001,WCo,16,Groot Brak River @ Wolwedans Dam,123,24.626000000000001,,24.672999999999998,24.533000000000001,24.382000000000001,24.335999999999999,,,24.672999999999998,24.672999999999998,,24.556000000000001,24.475000000000001,24.300999999999998,23.795000000000002,23.504999999999999,23.75,23.67,99.4,100.2,99.6,99,98.8,,,100.2,100.2,,99.7,99.4,98.7,96.6,95.4,96.4,96.1,91.1
